"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.217.17.42","192.168.100.9","UDP","67","443  >  55741 Len=25"
"2","0.524872","192.168.100.9","172.217.19.174","UDP","71","57768  >  443 Len=29"
"3","0.601328","172.217.19.174","192.168.100.9","UDP","67","443  >  57768 Len=25"
"4","0.765523","192.168.100.9","142.250.181.138","UDP","71","51837  >  443 Len=29"
"5","0.814896","142.250.181.138","192.168.100.9","UDP","67","443  >  51837 Len=25"
"6","1.110967","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=57bd0e344fa5c754, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PING"
"7","1.111063","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=57bd0e344fa5c754, PKN: 2, PING, PING, PING, CRYPTO, PING, CRYPTO"
"8","1.111363","192.168.100.9","142.250.181.99","QUIC","122","0-RTT, DCID=57bd0e344fa5c754"
"9","1.111659","192.168.100.9","142.250.181.99","QUIC","590","0-RTT, DCID=57bd0e344fa5c754"
"10","1.114693","192.168.100.9","172.217.19.238","QUIC","1292","Initial, DCID=dc40934ba1c3d376, PKN: 1, CRYPTO, CRYPTO, PING"
"11","1.114808","192.168.100.9","172.217.19.238","QUIC","1292","Initial, DCID=dc40934ba1c3d376, PKN: 2, PING, CRYPTO"
"12","1.115086","192.168.100.9","172.217.19.238","QUIC","121","0-RTT, DCID=dc40934ba1c3d376"
"13","1.115497","192.168.100.9","172.217.19.238","QUIC","1288","0-RTT, DCID=dc40934ba1c3d376"
"14","1.115576","192.168.100.9","172.217.19.238","QUIC","1292","0-RTT, DCID=dc40934ba1c3d376"
"15","1.115620","192.168.100.9","172.217.19.238","QUIC","214","0-RTT, DCID=dc40934ba1c3d376"
"16","1.117637","192.168.100.9","172.217.19.238","QUIC","268","0-RTT, DCID=dc40934ba1c3d376"
"17","1.119610","192.168.100.9","172.217.19.238","QUIC","269","0-RTT, DCID=dc40934ba1c3d376"
"18","1.154651","142.250.181.99","192.168.100.9","QUIC","82","Initial, SCID=f7bd0e344fa5c754, PKN: 1, ACK"
"19","1.162109","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=f7bd0e344fa5c754, PKN: 2, ACK, PADDING"
"20","1.165155","172.217.19.238","192.168.100.9","QUIC","82","Initial, SCID=fc40934ba1c3d376, PKN: 1, ACK"
"21","1.165863","172.217.19.238","192.168.100.9","QUIC","1292","Initial, SCID=fc40934ba1c3d376, PKN: 2, ACK, PADDING"
"22","1.204109","192.168.100.9","142.250.181.99","QUIC","1292","Initial, DCID=f7bd0e344fa5c754, PKN: 6, PADDING, PING, PADDING"
"23","1.220366","192.168.100.9","172.217.19.238","QUIC","1292","Initial, DCID=fc40934ba1c3d376, PKN: 10, PADDING, PING, PADDING"
"24","1.248899","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=f7bd0e344fa5c754, PKN: 3, ACK, PADDING"
"25","1.262882","172.217.19.238","192.168.100.9","QUIC","1292","Initial, SCID=fc40934ba1c3d376, PKN: 3, ACK, PADDING"
"26","1.277696","142.250.181.99","192.168.100.9","QUIC","1292","Initial, SCID=f7bd0e344fa5c754, PKN: 4, CRYPTO, PADDING"
"27","1.278207","142.250.181.99","192.168.100.9","QUIC","338","Protected Payload (KP0)"
"28","1.278603","192.168.100.9","142.250.181.99","QUIC","120","Handshake, DCID=f7bd0e344fa5c754"
"29","1.279207","142.250.181.99","192.168.100.9","QUIC","986","Protected Payload (KP0)"
"30","1.279207","142.250.181.99","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"31","1.279404","192.168.100.9","142.250.181.99","QUIC","73","Protected Payload (KP0), DCID=f7bd0e344fa5c754"
"32","1.279933","142.250.181.99","192.168.100.9","QUIC","64","Protected Payload (KP0)"
"33","1.282555","172.217.19.238","192.168.100.9","QUIC","1292","Initial, SCID=fc40934ba1c3d376, PKN: 4, CRYPTO, PADDING"
"34","1.282728","172.217.19.238","192.168.100.9","QUIC","341","Protected Payload (KP0)"
"35","1.283222","172.217.19.238","192.168.100.9","QUIC","993","Protected Payload (KP0)"
"36","1.283256","192.168.100.9","172.217.19.238","QUIC","120","Handshake, DCID=fc40934ba1c3d376"
"37","1.283369","192.168.100.9","172.217.19.238","QUIC","73","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"38","1.284490","172.217.19.238","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"39","1.284490","172.217.19.238","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"40","1.284645","172.217.19.238","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"41","1.284760","192.168.100.9","172.217.19.238","QUIC","73","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"42","1.315720","192.168.100.9","142.250.181.99","QUIC","74","Protected Payload (KP0), DCID=f7bd0e344fa5c754"
"43","1.318589","142.250.181.99","192.168.100.9","QUIC","162","Protected Payload (KP0)"
"44","1.320842","172.217.19.238","192.168.100.9","QUIC","162","Protected Payload (KP0)"
"45","1.348024","192.168.100.9","142.250.181.99","QUIC","74","Protected Payload (KP0), DCID=f7bd0e344fa5c754"
"46","1.348126","192.168.100.9","172.217.19.238","QUIC","74","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"47","1.400718","142.250.181.99","192.168.100.9","QUIC","559","Protected Payload (KP0)"
"48","1.401091","142.250.181.99","192.168.100.9","QUIC","64","Protected Payload (KP0)"
"49","1.401738","192.168.100.9","142.250.181.99","QUIC","77","Protected Payload (KP0), DCID=f7bd0e344fa5c754"
"50","1.443494","142.250.181.99","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"51","1.525908","192.168.100.9","172.217.19.238","QUIC","71","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"52","1.566506","172.217.19.238","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"53","1.582428","172.217.19.238","192.168.100.9","QUIC","1292","Protected Payload (KP0)"
"54","1.582428","172.217.19.238","192.168.100.9","QUIC","170","Protected Payload (KP0)"
"55","1.582428","172.217.19.238","192.168.100.9","QUIC","250","Protected Payload (KP0)"
"56","1.582747","192.168.100.9","172.217.19.238","QUIC","77","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"57","1.588160","192.168.100.9","142.250.181.110","QUIC","1292","Initial, DCID=74d74bad89b33c94, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO"
"58","1.588222","192.168.100.9","142.250.181.110","QUIC","1292","Initial, DCID=74d74bad89b33c94, PKN: 2, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"59","1.588397","192.168.100.9","142.250.181.110","QUIC","121","0-RTT, DCID=74d74bad89b33c94"
"60","1.597747","172.217.19.238","192.168.100.9","QUIC","1111","Protected Payload (KP0)"
"61","1.597747","172.217.19.238","192.168.100.9","QUIC","297","Protected Payload (KP0)"
"62","1.598057","192.168.100.9","172.217.19.238","QUIC","77","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"63","1.599799","172.217.19.238","192.168.100.9","QUIC","1112","Protected Payload (KP0)"
"64","1.599799","172.217.19.238","192.168.100.9","QUIC","271","Protected Payload (KP0)"
"65","1.600144","192.168.100.9","172.217.19.238","QUIC","77","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"66","1.638618","192.168.100.9","172.217.19.238","QUIC","74","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"67","1.649681","172.217.19.238","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"68","1.666465","172.217.19.238","192.168.100.9","QUIC","64","Protected Payload (KP0)"
"69","1.667084","192.168.100.9","172.217.19.238","QUIC","75","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"70","1.703952","192.168.100.9","172.217.19.238","QUIC","72","Protected Payload (KP0), DCID=fc40934ba1c3d376"
"71","1.712611","172.217.19.238","192.168.100.9","QUIC","65","Protected Payload (KP0)"
"72","1.717312","142.250.181.110","192.168.100.9","QUIC","82","Initial, SCID=f4d74bad89b33c94, PKN: 1, ACK"
"73","1.717312","142.250.181.110","192.168.100.9","QUIC","1292","Initial, SCID=f4d74bad89b33c94, PKN: 2, ACK, PADDING"
"74","1.751767","172.217.19.238","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"75","1.833420","142.250.181.110","192.168.100.9","QUIC","1292","Initial, SCID=f4d74bad89b33c94, PKN: 3, CRYPTO, PADDING"
"76","1.833420","142.250.181.110","192.168.100.9","QUIC","346","Protected Payload (KP0)"
"77","1.833420","142.250.181.110","192.168.100.9","QUIC","988","Protected Payload (KP0)"
"78","1.833420","142.250.181.110","192.168.100.9","QUIC","83","Protected Payload (KP0)"
"79","1.833420","142.250.181.110","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"80","1.833954","192.168.100.9","142.250.181.110","QUIC","120","Handshake, DCID=f4d74bad89b33c94"
"81","1.834060","192.168.100.9","142.250.181.110","QUIC","73","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"82","1.834354","192.168.100.9","142.250.181.110","QUIC","1288","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"83","1.834417","192.168.100.9","142.250.181.110","QUIC","1288","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"84","1.834441","192.168.100.9","142.250.181.110","QUIC","173","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"85","1.834563","192.168.100.9","142.250.181.110","QUIC","588","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"86","1.834691","192.168.100.9","142.250.181.110","QUIC","584","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"87","1.875489","142.250.181.110","192.168.100.9","QUIC","162","Protected Payload (KP0)"
"88","1.875946","142.250.181.110","192.168.100.9","QUIC","71","Protected Payload (KP0)"
"89","1.876193","142.250.181.110","192.168.100.9","QUIC","67","Protected Payload (KP0)"
"90","1.876501","192.168.100.9","142.250.181.110","QUIC","74","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"91","1.882016","142.250.181.110","192.168.100.9","QUIC","72","Protected Payload (KP0)"
"92","1.920202","192.168.100.9","142.250.181.110","QUIC","74","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"93","2.098876","192.168.100.9","142.250.181.110","QUIC","71","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"94","2.156076","142.250.181.110","192.168.100.9","QUIC","611","Protected Payload (KP0)"
"95","2.156437","142.250.181.110","192.168.100.9","QUIC","63","Protected Payload (KP0)"
"96","2.157318","192.168.100.9","142.250.181.110","QUIC","77","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"97","2.222863","142.250.181.110","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"98","2.428458","192.168.100.9","142.250.181.110","QUIC","71","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"99","2.493478","142.250.181.110","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"100","2.573611","192.168.100.9","20.195.84.23","TLSv1.2","85","Application Data"
"101","2.694052","20.195.84.23","192.168.100.9","TCP","60","443  >  58636 [ACK] Seq=1 Ack=32 Win=501 Len=0"
"102","2.702689","192.168.100.9","142.250.181.110","QUIC","71","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"103","2.767430","142.250.181.110","192.168.100.9","QUIC","66","Protected Payload (KP0)"
"104","2.978828","192.168.100.9","142.250.181.110","QUIC","71","Protected Payload (KP0), DCID=f4d74bad89b33c94"
"105","3.044332","142.250.181.110","192.168.100.9","QUIC","66","Protected Payload (KP0)"
